"elec_name","acs_name","same_name","town_match","acs_name2","same_name2"
"SOUTHAMPTON","SOUTHAMPTON TOWN",0,1,"SOUTHAMPTON",1
"SOUTHBOROUGH","SOUTHBOROUGH TOWN",0,1,"SOUTHBOROUGH",1
"SOUTHBRIDGE","SOUTHBRIDGE TOWN CITY",0,1,"SOUTHBRIDGE",1
"SOUTH HADLEY","SOUTH HADLEY TOWN",0,1,"SOUTH HADLEY",1
"SOUTHWICK","SOUTHWICK TOWN",0,1,"SOUTHWICK",1
"SPENCER","SPENCER TOWN",0,1,"SPENCER",1
"SPRINGFIELD","SPRINGFIELD CITY",0,1,"SPRINGFIELD",1
"STERLING","STERLING TOWN",0,1,"STERLING",1
"STOCKBRIDGE","STOCKBRIDGE TOWN",0,1,"STOCKBRIDGE",1
"STONEHAM","STONEHAM TOWN",0,1,"STONEHAM",1
"STOUGHTON","STOUGHTON TOWN",0,1,"STOUGHTON",1
"STOW","STOW TOWN",0,1,"STOW",1
"STURBRIDGE","STURBRIDGE TOWN",0,1,"STURBRIDGE",1
"SUDBURY","SUDBURY TOWN",0,1,"SUDBURY",1
"SUNDERLAND","SUNDERLAND TOWN",0,1,"SUNDERLAND",1
"SUTTON","SUTTON TOWN",0,1,"SUTTON",1
"SWAMPSCOTT","SWAMPSCOTT TOWN",0,1,"SWAMPSCOTT",1
"SWANSEA","SWANSEA TOWN",0,1,"SWANSEA",1
"TAUNTON","TAUNTON CITY",0,1,"TAUNTON",1
"TEMPLETON","TEMPLETON TOWN",0,1,"TEMPLETON",1
"TEWKSBURY","TEWKSBURY TOWN",0,1,"TEWKSBURY",1
"TISBURY","TISBURY TOWN",0,1,"TISBURY",1
"TOLLAND","TOLLAND TOWN",0,1,"TOLLAND",1
"TOPSFIELD","TOPSFIELD TOWN",0,1,"TOPSFIELD",1
"TOWNSEND","TOWNSEND TOWN",0,1,"TOWNSEND",1
"TRURO","TRURO TOWN",0,1,"TRURO",1
"TYNGSBOROUGH","TYNGSBOROUGH TOWN",0,1,"TYNGSBOROUGH",1
"TYRINGHAM","TYRINGHAM TOWN",0,1,"TYRINGHAM",1
"UPTON","UPTON TOWN",0,1,"UPTON",1
"UXBRIDGE","UXBRIDGE TOWN",0,1,"UXBRIDGE",1
"WAKEFIELD","WAKEFIELD TOWN",0,1,"WAKEFIELD",1
"WALES","WALES TOWN",0,1,"WALES",1
"WALPOLE","WALPOLE TOWN",0,1,"WALPOLE",1
"WALTHAM","WALTHAM CITY",0,1,"WALTHAM",1
"WARE","WARE TOWN",0,1,"WARE",1
"WAREHAM","WAREHAM TOWN",0,1,"WAREHAM",1
"WARREN","WARREN TOWN",0,1,"WARREN",1
"WARWICK","WARWICK TOWN",0,1,"WARWICK",1
"WASHINGTON","WASHINGTON TOWN",0,1,"WASHINGTON",1
"WATERTOWN","WATERTOWN TOWN CITY",0,1,"WATERTOWN",1
"WAYLAND","WAYLAND TOWN",0,1,"WAYLAND",1
"WEBSTER","WEBSTER TOWN",0,1,"WEBSTER",1
"WELLESLEY","WELLESLEY TOWN",0,1,"WELLESLEY",1
"WELLFLEET","WELLFLEET TOWN",0,1,"WELLFLEET",1
"WENDELL","WENDELL TOWN",0,1,"WENDELL",1
"WENHAM","WENHAM TOWN",0,1,"WENHAM",1
"WESTBOROUGH","WESTBOROUGH TOWN",0,1,"WESTBOROUGH",1
"WEST BOYLSTON","WEST BOYLSTON TOWN",0,1,"WEST BOYLSTON",1
"WEST BRIDGEWATER","WEST BRIDGEWATER TOWN",0,1,"WEST BRIDGEWATER",1
"WEST BROOKFIELD","WEST BROOKFIELD TOWN",0,1,"WEST BROOKFIELD",1
"WESTFIELD","WESTFIELD CITY",0,1,"WESTFIELD",1
"WESTFORD","WESTFORD TOWN",0,1,"WESTFORD",1
"WESTHAMPTON","WESTHAMPTON TOWN",0,1,"WESTHAMPTON",1
"WESTMINSTER","WESTMINSTER TOWN",0,1,"WESTMINSTER",1
"WEST NEWBURY","WEST NEWBURY TOWN",0,1,"WEST NEWBURY",1
"WESTON","WESTON TOWN",0,1,"WESTON",1
"WESTPORT","WESTPORT TOWN",0,1,"WESTPORT",1
"WEST SPRINGFIELD","WEST SPRINGFIELD TOWN CITY",0,1,"WEST SPRINGFIELD",1
"WEST STOCKBRIDGE","WEST STOCKBRIDGE TOWN",0,1,"WEST STOCKBRIDGE",1
"WEST TISBURY","WEST TISBURY TOWN",0,1,"WEST TISBURY",1
"WESTWOOD","WESTWOOD TOWN",0,1,"WESTWOOD",1
"WEYMOUTH","WEYMOUTH TOWN CITY",0,1,"WEYMOUTH",1
"WHATELY","WHATELY TOWN",0,1,"WHATELY",1
"WHITMAN","WHITMAN TOWN",0,1,"WHITMAN",1
"WILBRAHAM","WILBRAHAM TOWN",0,1,"WILBRAHAM",1
"WILLIAMSBURG","WILLIAMSBURG TOWN",0,1,"WILLIAMSBURG",1
"WILLIAMSTOWN","WILLIAMSTOWN TOWN",0,1,"WILLIAMSTOWN",1
"WILMINGTON","WILMINGTON TOWN",0,1,"WILMINGTON",1
"WINCHENDON","WINCHENDON TOWN",0,1,"WINCHENDON",1
"WINCHESTER","WINCHESTER TOWN",0,1,"WINCHESTER",1
"WINDSOR","WINDSOR TOWN",0,1,"WINDSOR",1
"WINTHROP","WINTHROP TOWN CITY",0,1,"WINTHROP",1
"WOBURN","WOBURN CITY",0,1,"WOBURN",1
"WORCESTER","WORCESTER CITY",0,1,"WORCESTER",1
"WORTHINGTON","WORTHINGTON TOWN",0,1,"WORTHINGTON",1
"WRENTHAM","WRENTHAM TOWN",0,1,"WRENTHAM",1
"YARMOUTH","YARMOUTH TOWN",0,1,"YARMOUTH",1
"MANCHESTER","MANCHESTER-BY-THE-SEA TOWN",0,0,"MANCHESTER-BY-THE-SEA",0
